구분,소유구분,LEVEL1,값,년(Annual),증감,증감율,구성비,누계,누계구성비
경기도,개인,지번수,3041348,2021,3041348,3041348,0,0,0
경기도,국유지,면적,2210417252.8,2021,2210417252.8,2210417252.8,0,0,0
경기도,국유지,지번수,846067,2021,846067,846067,0,0,0
경기도,도유지,면적,463855532.5,2021,463855532.5,463855532.5,0,0,0
경기도,도유지,지번수,141848,2021,141848,141848,0,0,0
경기도,군유지,면적,501942301.6,2021,501942301.6,501942301.6,0,0,0
경기도,군유지,지번수,469716,2021,469716,469716,0,0,0
경기도,법인,면적,1315840809.4,2021,1315840809.4,1315840809.4,0,0,0
경기도,법인,지번수,450398,2021,450398,450398,0,0,0
경기도,종중,면적,779353369.8,2021,779353369.8,779353369.8,0,0,0
경기도,종중,지번수,88599,2021,88599,88599,0,0,0
경기도,종교단체,면적,76722547.6,2021,76722547.6,76722547.6,0,0,0
경기도,종교단체,지번수,17400,2021,17400,17400,0,0,0
경기도,기타단체,면적,20904659.7,2021,20904659.7,20904659.7,0,0,0
경기도,기타단체,지번수,16261,2021,16261,16261,0,0,0
경기도,기타,면적,79564147.1,2021,79564147.1,79564147.1,0,0,0
경기도,기타,지번수,23040,2021,23040,23040,0,0,0
강원도,합계,면적,16829671465.4,2021,16829671465.4,16829671465.4,0,0,0
강원도,합계,지번수,2688029,2021,2688029,2688029,0,0,0
강원도,개인,면적,5156386719.5,2021,5156386719.5,5156386719.5,0,0,0
강원도,개인,지번수,1593069,2021,1593069,1593069,0,0,0
강원도,국유지,면적,8979938116.9,2021,8979938116.9,8979938116.9,0,0,0
강원도,국유지,지번수,566914,2021,566914,566914,0,0,0
강원도,도유지,면적,367405839.7,2021,367405839.7,367405839.7,0,0,0
강원도,도유지,지번수,65017,2021,65017,65017,0,0,0
강원도,군유지,면적,880037367.5,2021,880037367.5,880037367.5,0,0,0
강원도,군유지,지번수,288224,2021,288224,288224,0,0,0
강원도,법인,면적,750094919,2021,750094919,750094919,0,0,0
강원도,법인,지번수,114470,2021,114470,114470,0,0,0
강원도,종중,면적,381832803.4,2021,381832803.4,381832803.4,0,0,0
강원도,종중,지번수,28757,2021,28757,28757,0,0,0
강원도,종교단체,면적,197554777.6,2021,197554777.6,197554777.6,0,0,0
강원도,종교단체,지번수,7388,2021,7388,7388,0,0,0
강원도,기타단체,면적,43011820.4,2021,43011820.4,43011820.4,0,0,0
강원도,기타단체,지번수,7130,2021,7130,7130,0,0,0
강원도,기타,면적,73409101.4,2021,73409101.4,73409101.4,0,0,0
강원도,기타,지번수,17060,2021,17060,17060,0,0,0
충청북도,합계,면적,7406988694.5,2021,7406988694.5,7406988694.5,0,0,0
충청북도,합계,지번수,2362055,2021,2362055,2362055,0,0,0
충청북도,개인,면적,3406188730.4,2021,3406188730.4,3406188730.4,0,0,0
충청북도,개인,지번수,1438423,2021,1438423,1438423,0,0,0
충청북도,국유지,면적,1704679433.6,2021,1704679433.6,1704679433.6,0,0,0
충청북도,국유지,지번수,382804,2021,382804,382804,0,0,0
충청북도,도유지,면적,310822837.1,2021,310822837.1,310822837.1,0,0,0
충청북도,도유지,지번수,78557,2021,78557,78557,0,0,0
충청북도,군유지,면적,728648115.6,2021,728648115.6,728648115.6,0,0,0
충청북도,군유지,지번수,255897,2021,255897,255897,0,0,0
충청북도,법인,면적,549983387.5,2021,549983387.5,549983387.5,0,0,0
충청북도,법인,지번수,132529,2021,132529,132529,0,0,0
충청북도,종중,면적,560131808.3,2021,560131808.3,560131808.3,0,0,0
충청북도,종중,지번수,53625,2021,53625,53625,0,0,0
충청북도,종교단체,면적,61308797.8,2021,61308797.8,61308797.8,0,0,0
충청북도,종교단체,지번수,5527,2021,5527,5527,0,0,0
충청북도,기타단체,면적,73374568,2021,73374568,73374568,0,0,0
충청북도,기타단체,지번수,10429,2021,10429,10429,0,0,0
충청북도,기타,면적,11851016.2,2021,11851016.2,11851016.2,0,0,0
충청북도,기타,지번수,4264,2021,4264,4264,0,0,0
충청남도,합계,면적,8246960405.1,2021,8246960405.1,8246960405.1,0,0,0
충청남도,합계,지번수,3702923,2021,3702923,3702923,0,0,0
충청남도,개인,면적,5011139264.8,2021,5011139264.8,5011139264.8,0,0,0
충청남도,개인,지번수,2467178,2021,2467178,2467178,0,0,0
충청남도,국유지,면적,1253727357.8,2021,1253727357.8,1253727357.8,0,0,0
충청남도,국유지,지번수,523793,2021,523793,523793,0,0,0
충청남도,도유지,면적,169534265.5,2021,169534265.5,169534265.5,0,0,0
충청남도,도유지,지번수,90910,2021,90910,90910,0,0,0
충청남도,군유지,면적,288729882.8,2021,288729882.8,288729882.8,0,0,0
충청남도,군유지,지번수,300589,2021,300589,300589,0,0,0
충청남도,법인,면적,715569580.1,2021,715569580.1,715569580.1,0,0,0
충청남도,법인,지번수,217230,2021,217230,217230,0,0,0
충청남도,종중,면적,694513932.5,2021,694513932.5,694513932.5,0,0,0
충청남도,종중,지번수,75625,2021,75625,75625,0,0,0
충청남도,종교단체,면적,56401461.1,2021,56401461.1,56401461.1,0,0,0
충청남도,종교단체,지번수,8220,2021,8220,8220,0,0,0
충청남도,기타단체,면적,41774620.9,2021,41774620.9,41774620.9,0,0,0
충청남도,기타단체,지번수,13570,2021,13570,13570,0,0,0
충청남도,기타,면적,15570039.6,2021,15570039.6,15570039.6,0,0,0
충청남도,기타,지번수,5808,2021,5808,5808,0,0,0
전라북도,합계,면적,8072147335.3,2021,8072147335.3,8072147335.3,0,0,0
전라북도,합계,지번수,3844760,2021,3844760,3844760,0,0,0
전라북도,개인,면적,4362949282.5,2021,4362949282.5,4362949282.5,0,0,0
전라북도,개인,지번수,2365275,2021,2365275,2365275,0,0,0
전라북도,국유지,면적,1861866255.4,2021,1861866255.4,1861866255.4,0,0,0
전라북도,국유지,지번수,655974,2021,655974,655974,0,0,0
전라북도,도유지,면적,177996913.1,2021,177996913.1,177996913.1,0,0,0
전라북도,도유지,지번수,95774,2021,95774,95774,0,0,0
전라북도,군유지,면적,384102384.7,2021,384102384.7,384102384.7,0,0,0
전라북도,군유지,지번수,442094,2021,442094,442094,0,0,0
전라북도,법인,면적,421645314.1,2021,421645314.1,421645314.1,0,0,0
전라북도,법인,지번수,158259,2021,158259,158259,0,0,0
전라북도,종중,면적,723837748.7,2021,723837748.7,723837748.7,0,0,0
전라북도,종중,지번수,91792,2021,91792,91792,0,0,0
전라북도,종교단체,면적,69856577.2,2021,69856577.2,69856577.2,0,0,0
전라북도,종교단체,지번수,11105,2021,11105,11105,0,0,0
전라북도,기타단체,면적,59251169.9,2021,59251169.9,59251169.9,0,0,0
전라북도,기타단체,지번수,16379,2021,16379,16379,0,0,0
전라북도,기타,면적,10641689.7,2021,10641689.7,10641689.7,0,0,0
전라북도,기타,지번수,8108,2021,8108,8108,0,0,0
전라남도,합계,면적,12358940174.9,2021,12358940174.9,12358940174.9,0,0,0
전라남도,합계,지번수,5861778,2021,5861778,5861778,0,0,0
전라남도,개인,면적,7474300000.2,2021,7474300000.2,7474300000.2,0,0,0
전라남도,개인,지번수,3755073,2021,3755073,3755073,0,0,0
전라남도,국유지,면적,2142552273.4,2021,2142552273.4,2142552273.4,0,0,0
전라남도,국유지,지번수,857369,2021,857369,857369,0,0,0
전라남도,도유지,면적,204442075,2021,204442075,204442075,0,0,0
전라남도,도유지,지번수,135657,2021,135657,135657,0,0,0
전라남도,군유지,면적,557246350.6,2021,557246350.6,557246350.6,0,0,0
전라남도,군유지,지번수,673767,2021,673767,673767,0,0,0
전라남도,법인,면적,814014794.5,2021,814014794.5,814014794.5,0,0,0
전라남도,법인,지번수,265356,2021,265356,265356,0,0,0
전라남도,종중,면적,917056756.7,2021,917056756.7,917056756.7,0,0,0
전라남도,종중,지번수,113614,2021,113614,113614,0,0,0
전라남도,종교단체,면적,131548979,2021,131548979,131548979,0,0,0
전라남도,종교단체,지번수,13027,2021,13027,13027,0,0,0
전라남도,기타단체,면적,89987265.1,2021,89987265.1,89987265.1,0,0,0
전라남도,기타단체,지번수,27521,2021,27521,27521,0,0,0
전라남도,기타,면적,27791680.4,2021,27791680.4,27791680.4,0,0,0
전라남도,기타,지번수,20394,2021,20394,20394,0,0,0
경상북도,합계,면적,19034795138.2,2021,19034795138.2,19034795138.2,0,0,0
경상북도,합계,지번수,5836089,2021,5836089,5836089,0,0,0
경상북도,개인,면적,10188436764,2021,10188436764,10188436764,0,0,0
경상북도,개인,지번수,3749093,2021,3749093,3749093,0,0,0
경상북도,국유지,면적,4216346517.6,2021,4216346517.6,4216346517.6,0,0,0
경상북도,국유지,지번수,924166,2021,924166,924166,0,0,0
경상북도,도유지,면적,240091168.3,2021,240091168.3,240091168.3,0,0,0
경상북도,도유지,지번수,123815,2021,123815,123815,0,0,0
경상북도,군유지,면적,1326321478.9,2021,1326321478.9,1326321478.9,0,0,0
경상북도,군유지,지번수,671937,2021,671937,671937,0,0,0
경상북도,법인,면적,1070858759.8,2021,1070858759.8,1070858759.8,0,0,0
경상북도,법인,지번수,228676,2021,228676,228676,0,0,0
경상북도,종중,면적,1512740337.3,2021,1512740337.3,1512740337.3,0,0,0
경상북도,종중,지번수,90038,2021,90038,90038,0,0,0
경상북도,종교단체,면적,234003861,2021,234003861,234003861,0,0,0
경상북도,종교단체,지번수,13947,2021,13947,13947,0,0,0
경상북도,기타단체,면적,207375605.1,2021,207375605.1,207375605.1,0,0,0
경상북도,기타단체,지번수,18956,2021,18956,18956,0,0,0
경상북도,기타,면적,38620646.2,2021,38620646.2,38620646.2,0,0,0
경상북도,기타,지번수,15461,2021,15461,15461,0,0,0
경상남도,합계,면적,10541895013.9,2021,10541895013.9,10541895013.9,0,0,0
경상남도,합계,지번수,4800381,2021,4800381,4800381,0,0,0
경상남도,개인,면적,6316845221.8,2021,6316845221.8,6316845221.8,0,0,0
경상남도,개인,지번수,3167322,2021,3167322,3167322,0,0,0
경상남도,국유지,면적,1711924674.9,2021,1711924674.9,1711924674.9,0,0,0
