"평가년도","도서관구분","도서관코드","도서관명","면적","시군구","장서수","사서수","대출자수","대출권수"
2014,"LIBTYPE002",2060823010,"부개어린이도서관","인천","부평구",14790,"2",59174,28913
2014,"LIBTYPE002",2060846002,"목포어린이도서관","전남","목포시",49573,"3",478878,100700
2014,"LIBTYPE002",2060846001,"순천기적의도서관","전남","순천시",76125,"3",546897,135194
2014,"LIBTYPE002",2060845002,"늘푸른도서관","전북","군산시",45440,"2",210366,109207
2014,"LIBTYPE002",2060845001,"정읍기적의도서관","전북","정읍시",52881,"3",81965,71153
2014,"LIBTYPE002",2060849001,"제주시기적의도서관","제주","제주시",52106,"2",243399,231850
2014,"LIBTYPE002",2060844002,"아산시 어린이도서관","충남","아산시",73589,"1",310223,373593
2014,"LIBTYPE002",2060844001,"금산기적의도서관","충남","금산군",2959,"2",67842,44745
2014,"LIBTYPE002",2060844003,"서산어린이도서관","충남","서산시",20100,"3",69695,75880
2014,"LIBTYPE002",2060843002,"제천기적의도서관","충북","제천시",87313,"7",203841,60284
2014,"LIBTYPE002",2060843001,"청주기적의도서관","충북","청주시 서원구",47014,"3",138045,47738
2014,"LIBTYPE002",2050142017,"정선교육도서관","강원","정선군",89978,"3",99027,31876
2014,"LIBTYPE002",2050142011,"동해교육도서관","강원","동해시",115057,"5",317735,105679
2014,"LIBTYPE002",2050142013,"홍천교육도서관","강원","홍천군",96992,"3",79050,60263
2014,"LIBTYPE002",2050142006,"춘성교육도서관","강원","춘천시",57858,"2",34585,22973
2014,"LIBTYPE002",2050142018,"철원교육도서관","강원","철원군",73418,"2",66525,34728
2014,"LIBTYPE002",2050142021,"인제교육도서관","강원","인제군",77527,"2",97440,135231
2014,"LIBTYPE002",2050142019,"화천교육도서관","강원","화천군",63912,"1",57917,26953
2014,"LIBTYPE002",2050142007,"문막교육도서관","강원","원주시",85239,"2",72536,43221
2014,"LIBTYPE002",2050142002,"원주교육문화관","강원","원주시",213180,"7",1027588,309681
2014,"LIBTYPE002",2050142022,"고성교육도서관","강원","고성군",69623,"2",39389,17159
2014,"LIBTYPE002",2050142010,"양양교육도서관","강원","양양군",78654,"2",67466,30768
2014,"LIBTYPE002",2050142008,"명주교육도서관","강원","강릉시",99220,"2",59400,27485
2014,"LIBTYPE002",2050142001,"춘천교육문화관","강원","춘천시",171161,"7",407039,129032
2014,"LIBTYPE002",2050142014,"횡성교육도서관","강원","횡성군",92759,"2",92503,36422
2014,"LIBTYPE002",2050142016,"평창교육도서관","강원","평창군",72885,"2",80422,19657
2014,"LIBTYPE002",2050142005,"삼척교육문화관","강원","삼척시",168616,"7",306311,108824
2014,"LIBTYPE002",2060142024,"모루도서관","강원","강릉시",108764,"5",268387,136124
2014,"LIBTYPE002",2060142017,"사북공공도서관","강원","정선군",63502,"2",34561,14152
2014,"LIBTYPE002",2060142018,"철원김화도서관","강원","철원군",73732,"1",20536,22135
2014,"LIBTYPE002",2060142001,"춘천시립도서관","강원","춘천시",202563,"9",357788,211268
2014,"LIBTYPE002",2060142006,"춘천서면도서관","강원","춘천시",27606,"0",16212,20309
2014,"LIBTYPE002",2060142014,"영월주천도서관","강원","영월군",20632,"0",14057,4187
2014,"LIBTYPE002",2060142010,"동해시립북삼도서관","강원","동해시",109865,"3",312665,103169
2014,"LIBTYPE002",2060142012,"삼척도계도서관","강원","삼척시",75014,"2",22886,12776
2014,"LIBTYPE002",2030111002,"오류도서관","서울","구로구",51749,"2",71071,0
2014,"LIBTYPE002",2030122002,"한들마을도서관","대구","동구",22622,"0",10100,17645
2014,"LIBTYPE002",2030145001,"명봉도서관","전북","정읍시",31310,"2",11963,5835
2014,"LIBTYPE002",2030841003,"동화기차어린이도서관","경기","부천시 원미구",53083,"0",49902,50033
2014,"LIBTYPE002",2050142015,"영월교육도서관","강원","영월군",87279,"2",47518,43265
2014,"LIBTYPE002",2060141009,"성남시중원도서관","경기","성남시 중원구",308124,"18",1406975,556538
2014,"LIBTYPE002",2060141112,"남양주시오남도서관","경기","남양주시",76894,"3",264618,187172
2014,"LIBTYPE002",2060141088,"군포시 중앙도서관","경기","군포시",276499,"12",1692962,479352
2014,"LIBTYPE002",2050142009,"속초교육도서관","강원","속초시",95718,"3",155134,50189
2014,"LIBTYPE002",2050143016,"충청북도중원교육문화원","충북","충주시",82001,"3",197331,71331
2014,"LIBTYPE002",2050143007,"보은교육도서관","충북","보은군",67085,"2",95697,22490
2014,"LIBTYPE002",2050143001,"충청북도교육도서관","충북","청주시 서원구",358623,"13",866636,248760
2014,"LIBTYPE002",2050143010,"진천교육도서관","충북","진천군",72479,"3",65451,16445
2014,"LIBTYPE002",2050143014,"금왕교육도서관","충북","음성군",60222,"3",91181,30667
2014,"LIBTYPE002",2060143018,"청주서원도서관","충북","청주시 서원구",65094,"2",372419,258430
2014,"LIBTYPE002",2060143011,"청주청원도서관","충북","청주시 청원구",89884,"4",314003,224900
2014,"LIBTYPE002",2060143015,"진천군립광혜원도서관","충북","진천군",33698,"1",140020,128503
2014,"LIBTYPE002",2060143013,"청주오창도서관","충북","청주시 청원구",52230,"2",169578,838553
2014,"LIBTYPE002",2060143005,"제천여성도서관","충북","제천시",55030,"1",184231,31520
2014,"LIBTYPE002",2060143009,"음성대소도서관","충북","음성군",35925,"1",29700,13281
2014,"LIBTYPE002",2060143019,"엄정꿈터도서관","충북","충주시",9774,"0",5032,5248
2014,"LIBTYPE002",2060143003,"충주시립호암도서관","충북","충주시",45185,"0",5525,13812
2014,"LIBTYPE002",2060143008,"매포도서관","충북","단양군",50323,"0",77976,41901
2014,"LIBTYPE002",2060143007,"옥산도서관","충북","청주시 흥덕구",48967,"0",23211,30307
2014,"LIBTYPE002",2060143001,"청주시립도서관","충북","청주시 상당구",194424,"7",652682,509998
2014,"LIBTYPE002",2060143010,"제천시립의병도서관","충북","제천시",9322,"1",7398,7398
2014,"LIBTYPE002",2060143006,"봉양도서관","충북","제천시",48892,"0",39907,9261
2014,"LIBTYPE002",2060143016,"옥천군민도서관","충북","옥천군",43276,"4",156924,81865
2014,"LIBTYPE002",2060143021,"진천군립도서관","충북","진천군",49181,"3",204867,141459
2014,"LIBTYPE002",2060143017,"다누리도서관","충북","단양군",62031,"1",157675,36220
